Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturI�n, Usa casco, DI�a de la semana, Sexo, Hora, Departamento, Localidad, Novedad, Tipo de Vehiculo, fixed, X, Y 
01/01/2022,37, PASAJERO, CAMINO CARMELO COLMAN, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, SIN DATOS, SI�BADO, MASCULINO,8, MONTEVIDEO, MONTEVIDEO,14067171, AUTO,1,572280,6148440
01/01/2022,45, CONDUCTOR, CAMINO CARMELO COLMAN, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, SIN DATOS, SI�BADO, MASCULINO,8, MONTEVIDEO, MONTEVIDEO,14067171, AUTO,1,572280,6148440
01/01/2022,69, CONDUCTOR, BOULEVARD JOSE BATLLE Y ORDO�EZ, URBANA    , HERIDO LEVE, CAI�DA, SIN DATOS, USA CASCO, SI�BADO, MASCULINO,16, MONTEVIDEO, MONTEVIDEO,14068548, MOTO,1,571120,6145960
01/01/2022,31, CONDUCTOR, SIN DATOS, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, SIN DATOS, SI�BADO, MASCULINO,23, MONTEVIDEO, SIN DATOS,14069875, AUTO,1,581650,6149845
01/01/2022,19, CONDUCTOR, JOANICO, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, NO USA CASCO, SI�BADO, MASCULINO,5, MONTEVIDEO, MONTEVIDEO,14066691, MOTO,1,577450,6139860
01/01/2022,29, CONDUCTOR, JOANICO, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, SI�BADO, MASCULINO,5, MONTEVIDEO, MONTEVIDEO,14066691, MOTO,1,577450,6139860
01/01/2022,39, CONDUCTOR, ASTELAR, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, SI�BADO, FEMENINO,19, MONTEVIDEO, MONTEVIDEO,14068985, MOTO,1,579040,6149800
01/01/2022,23, CONDUCTOR, LOMAS DE ZAMORA, URBANA    , HERIDO LEVE, CAI�DA, SIN DATOS, NO USA CASCO, SI�BADO, MASCULINO,20, MONTEVIDEO, MONTEVIDEO,14069092, BICICLETA,1,562970,6147015
01/01/2022,22, CONDUCTOR, AVENIDA GUSTAVO VOLPE, URBANA    , HERIDO LEVE, CAI�DA, SIN DATOS, NO USA CASCO, SI�BADO, MASCULINO,23, MONTEVIDEO, MONTEVIDEO,14069603, MOTO,1,575515,6144930
01/01/2022,30, CONDUCTOR, SIN DATOS, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, NO USA CASCO, SI�BADO, MASCULINO,23, MONTEVIDEO, SIN DATOS,14069875, BICICLETA,1,581650,6149845
02/01/2022,19, PASAJERO, AVENIDA DOCTOR JUAN ANDRES CACHON, URBANA    , HERIDO GRAVE, COLISION CON OBSTI�CULO EN CALZADA, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO,0, MONTEVIDEO, MONTEVIDEO,14069730, AUTO,1,575895,6135685
02/01/2022,43, PASAJERO, AVENIDA DOCTOR JUAN ANDRES CACHON, URBANA    , HERIDO GRAVE, COLISION CON OBSTI�CULO EN CALZADA, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO,0, MONTEVIDEO, MONTEVIDEO,14069730, AUTO,1,575895,6135685
02/01/2022,45, CONDUCTOR, AVENIDA DOCTOR JUAN ANDRES CACHON, URBANA    , HERIDO LEVE, COLISION CON OBSTI�CULO EN CALZADA, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO,0, MONTEVIDEO, MONTEVIDEO,14069730, AUTO,1,575895,6135685
02/01/2022,11, PEATON, CAMINO MALDONADO, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO,14, MONTEVIDEO, MONTEVIDEO,14071944, SIN DATOS,1,580790,6144675
02/01/2022,20, CONDUCTOR, AVENIDA AGRACIADA, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO,16, MONTEVIDEO, MONTEVIDEO,14072299, MOTO,1,571910,6142030
02/01/2022,50, CONDUCTOR, CAMINO CARRASCO, URBANA    , HERIDO GRAVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO,18, MONTEVIDEO, MONTEVIDEO,14072795, MOTO,1,584245,6140980
02/01/2022,19, CONDUCTOR, CAMINO CIBILS, URBANA    , HERIDO LEVE, CAI�DA, SIN DATOS, USA CASCO, DOMINGO, MASCULINO,22, MONTEVIDEO, MONTEVIDEO,14073558, MOTO,1,567245,6139265
02/01/2022,33, CONDUCTOR, VERACIERTO, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO,21, MONTEVIDEO, MONTEVIDEO,14073830, MOTO,1,580480,6141240
02/01/2022,28, CONDUCTOR, AVENIDA GENERAL SAN MARTIN, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO,23, MONTEVIDEO, MONTEVIDEO,14074410, AUTO,1,575040,6141855
02/01/2022,28, CONDUCTOR, RAMBLA MAHATMA GANDHI, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO,19, MONTEVIDEO, MONTEVIDEO,14076848, MOTO,1,577185,6134960
02/01/2022,65, CONDUCTOR, CAMINO MALDONADO, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, DOMINGO, FEMENINO,14, MONTEVIDEO, MONTEVIDEO,14071944, MOTO,1,580790,6144675
02/01/2022,22, PASAJERO, CAMINO CARRASCO, URBANA    , HERIDO GRAVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO,18, MONTEVIDEO, MONTEVIDEO,14072795, MOTO,1,584245,6140980
02/01/2022,12, PASAJERO, AVENIDA GENERAL FLORES, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, DOMINGO, FEMENINO,19, MONTEVIDEO, MONTEVIDEO,14073000, MOTO,1,577840,6144595
02/01/2022,9, PASAJERO, AVENIDA GENERAL FLORES, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO,19, MONTEVIDEO, MONTEVIDEO,14073000, MOTO,1,577840,6144595
02/01/2022,34, CONDUCTOR, AVENIDA GENERAL FLORES, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO,19, MONTEVIDEO, MONTEVIDEO,14073000, MOTO,1,577840,6144595
02/01/2022, SIN DATOS, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO,20, MONTEVIDEO, MONTEVIDEO,14073531, MOTO,1,573460,6142485
02/01/2022,17, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , HERIDO LEVE, COLISION ENTRE VEHI�CULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO,20, MONTEVIDEO, MONTEVIDEO,14073531, MOTO,1,573460,6142485
